symbol,direction,timeframe,outcome,ai_score,signal_quality,rsi,ema50,ema200,trend,wave_bias,price,ai_entry,ai_tp,ai_sl,exit_price,pnl_pct,created_at_readable,matched_rules,failed_rules
XAUTUSDT,LONG,5m,WIN,77,GUT,42.4642151618,4297.7547264117,4296.7893662844,neutral,,4297.2,4297.2,4361.657999999999,4254.228,4321.68,0.57,2026-06-07 18:50:10,RSI neutral-niedrig (42)|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,Preis zu nah an EMA 200 (0.01%) – Ausschluss v2.0
XRPUSDT,LONG,5m,WIN,79,GUT,39.6572029682,1.1537918037,1.1418325258,neutral,,1.1492,1.1492,1.166438,1.137708,1.1577,0.74,2026-06-08 03:30:07,"RSI niedrig (40) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 0.6%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
BTCUSDT,LONG,5m,WIN,81,GUT,42.7480586695,63071.7004929927,62526.5458489804,neutral,,62980,62980,63924.7,62350.2,63262.17,0.45,2026-06-08 04:05:06,"RSI neutral-niedrig (43)|EMA bullish (EMA50>EMA200, Dist 0.7%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
XAUTUSDT,SHORT,5m,WIN,87,GUT,57.4365214432,4297.8433442938,4299.5421645806,neutral,,4299.1,4299.1,4234.6135,4342.091,4279.17,0.46,2026-06-08 04:30:10,RSI neutral-hoch (57)|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Resistance – günstig für SHORT,Preis zu nah an EMA 200 (0.01%) – Ausschluss v2.0
SUIUSDT,LONG,5m,WIN,77,GUT,42.2666533021,0.7531965465,0.7495475568,bullish,,0.7508,0.7508,0.762062,0.7432920000000001,0.7628,1.6,2026-06-08 12:05:05,RSI neutral-niedrig (42)|Trend BULLISH – passt zu LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,Preis zu nah an EMA 200 (0.17%) – Ausschluss v2.0
BTCUSDT,LONG,5m,WIN,80,GUT,39.5832170915,63291.4934532159,62926.9285594479,neutral,,63027.99,63027.99,63973.40985,62397.7101,63775.13,1.19,2026-06-08 12:10:06,RSI niedrig (40) – passt zu Setup A LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,Preis zu nah an EMA 200 (0.16%) – Ausschluss v2.0
SUIUSDT,LONG,5m,LOSS,81,GUT,44.7291589673,0.7633805048,0.7558085539,neutral,,0.7623,0.7623,0.7737345,0.7546769999999999,0.7546769999999999,-1,2026-06-08 16:55:06,"RSI neutral-niedrig (45)|EMA bullish (EMA50>EMA200, Dist 0.9%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
XRPUSDT,LONG,5m,WIN,89,GUT,39.5222699527,1.167057612,1.1547962722,neutral,,1.1626,1.1626,1.180039,1.1509740000000002,1.1776,1.29,2026-06-08 17:05:07,"RSI niedrig (40) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 0.7%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
SOLUSDT,LONG,5m,WIN,89,GUT,38.3754793631,67.066088729,66.3460595414,neutral,,66.82,66.82,67.8223,66.1518,67.49,1,2026-06-08 17:05:07,"RSI niedrig (38) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 0.7%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
SUIUSDT,LONG,5m,WIN,81,GUT,44.3074665821,0.7625824819,0.7561649664,neutral,,0.7602,0.7602,0.771603,0.752598,0.7612,0.13,2026-06-08 17:35:07,"RSI neutral-niedrig (44)|EMA bullish (EMA50>EMA200, Dist 0.5%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
XRPUSDT,LONG,5m,WIN,81,GUT,42.9148298747,1.1660382596,1.1553395666,neutral,,1.1622,1.1622,1.179633,1.1505779999999999,1.179633,1.5,2026-06-08 17:40:06,"RSI neutral-niedrig (43)|EMA bullish (EMA50>EMA200, Dist 0.6%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
SOLUSDT,LONG,5m,WIN,81,GUT,44.363910809,67.0176402047,66.3809387514,neutral,,66.88,66.88,67.8832,66.21119999999999,67.5,0.93,2026-06-08 17:40:06,"RSI neutral-niedrig (44)|EMA bullish (EMA50>EMA200, Dist 0.8%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
XAUTUSDT,LONG,5m,WIN,80,GUT,38.4546001587,4311.456146389,4303.0241112776,neutral,,4306.2,4306.2,4370.793,4263.138,4316.68,0.24,2026-06-08 20:00:30,RSI niedrig (38) – passt zu Setup A LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,Preis zu nah an EMA 200 (0.07%) – Ausschluss v2.0
VIRTUALUSDT,LONG,5m,LOSS,79,GUT,38.0489594789,0.5914961333,0.5851452317,neutral,,0.5887,0.5887,0.5975305,0.582813,0.582813,-1,2026-06-08 20:15:05,"RSI niedrig (38) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 0.6%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
SOLUSDT,LONG,5m,LOSS,79,GUT,35.3273225215,67.3036587632,66.6635321032,neutral,,67.02,67.02,68.0253,66.3498,66.3498,-1,2026-06-08 20:20:05,"RSI niedrig (35) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 0.5%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
VIRTUALUSDT,LONG,5m,LOSS,79,GUT,39.5349024482,0.592464169,0.5866327614,neutral,,0.5896,0.5896,0.598444,0.583704,0.583704,-1,2026-06-08 22:00:07,"RSI niedrig (40) – passt zu Setup A LONG|EMA bullish (EMA50>EMA200, Dist 0.5%) – LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG",
XAUTUSDT,LONG,5m,WIN,80,GUT,37.9903071446,4310.7360562339,4304.5284481717,neutral,,4307,4307,4371.605,4263.93,4316.67,0.22,2026-06-08 22:05:05,RSI niedrig (38) – passt zu Setup A LONG|Timeframe 5min – Entry-Timeframe v2.0|Preis nah an Support – günstig für LONG,Preis zu nah an EMA 200 (0.06%) – Ausschluss v2.0
